Iex,Iin,I,,,,
-5.57E-07,5.51E-06,5.08E-06,,,,
-5.48E-07,-1.11E-05,-1.15E-05,,,,
-5.39E-07,-1.61E-05,-1.65E-05,,,,
-5.28E-07,-5.28E-06,-5.68E-06,,,,
-5.16E-07,-6.71E-06,-7.10E-06,,,,
-5.03E-07,3.05E-06,2.68E-06,,,,
-4.89E-07,-4.11E-06,-4.47E-06,,,,
-4.72E-07,-4.72E-06,-5.07E-06,,,,
-4.54E-07,1.81E-06,1.48E-06,,,,
-4.32E-07,-3.52E-06,-3.83E-06,,,,
-4.04E-07,-5.46E-06,-5.73E-06,,,,
-3.68E-07,3.39E-06,3.15E-06,,,,
-3.11E-07,-6.79E-06,-6.97E-06,,,,
-2.03E-07,-2.35E-08,-9.98E-08,,,,
0,0,0,,,,
