Iup5,Idn5,Iup10,Idn10
8.809397629556853e-6,1.325493844551896e-5,1.9331942758321325e-5,2.39695849232228e-5
6.305977441051169e-6,1.009357411470533e-5,1.4083241756969787e-5,2.028853775412466e-5
4.514162138775556e-6,8.923989964447615e-6,1.1501630699311638e-5,1.5512250116841545e-5
3.4752485698306163e-6,7.437612808453999e-6,8.845232315770947e-6,1.4017493986563751e-5
2.883631235854811e-6,5.18502033928833e-6,6.5323032792723565e-6,1.1163473640400405e-5
1.243560187921237e-6,6.44527529993057e-6,5.129378188188829e-6,7.800963655208366e-6
9.354233093827828e-7,4.63771893129319e-6,3.7705967864840373e-6,7.876949451808666e-6
1.2860039154949316e-7,4.439395400549337e-6,2.3077789198932276e-6,6.7179290836746e-6
-7.394766572015191e-7,3.1561297509933984e-6,2.325890190649258e-6,5.023979910388894e-6
-7.292977700592437e-7,3.18443847815035e-6,1.147903585414372e-6,4.555546988014961e-6
-6.821471794664436e-7,3.268642503843683e-6,3.6481644567692705e-7,4.6715266483663004e-6
-2.047902535375184e-6,3.025018647659225e-6,3.5833547837804226e-7,3.5359057529068292e-6
2.2332870605188981e-7,2.793322526013867e-6,-1.1106586312860856e-6,3.518141269783993e-6
-1.4189871768681227e-6,2.620181964501589e-6,-4.6501153646852856e-7,2.633040234194573e-6
-1.198345617470013e-6,1.629231983278503e-6,-1.1631024294236947e-6,2.072516343373294e-6
-8.283731345545309e-7,2.302496948095497e-6,-1.5367899616508683e-6,2.6862306376335856e-6
-6.980904354516922e-7,2.2651237046107435e-6,-8.986130104666429e-7,2.5714292505672314e-6
-1.7008933628518847e-6,2.129773845047142e-6,-1.4191924075441073e-6,2.3757614198413224e-6
-1.6684025426163421e-6,2.1041811276307778e-6,-3.124311945279889e-7,1.6989912787032822e-6
-8.493338311377206e-7,2.0236343847075675e-6,-1.5200379068037387e-6,3.1301089448853368e-6
-1.6470913445482296e-6,9.184041936107736e-7,-1.5526404251668284e-6,2.046603185141437e-6
-1.3589475427457281e-6,2.019924731245671e-6,-7.83526168144562e-7,9.818537491397567e-7
-1.6904694287754136e-6,1.2843471877681694e-6,-1.195334598724686e-6,1.86224072275835e-6
-1.6631186331568406e-6,1.415237182364618e-6,-1.6047661641982054e-6,2.559449750855661e-6
-1.5794992027112222e-6,1.4016665528508478e-6,-1.5667106350180809e-6,1.6549995073898387e-6
-1.5032817344253445e-6,1.7644518176636338e-6,-1.5229060768173418e-6,8.039173805506589e-7
-1.3664065179119036e-6,1.2481255074391176e-6,-2.313299224088875e-6,9.708800169915535e-7
-6.23174241605348e-7,1.4778209798492234e-6,-2.259407763856078e-6,1.676094413962687e-6
-1.116464296545568e-6,1.5702116265279392e-6,-1.058993948108494e-6,1.2680755923045113e-6
-1.1890974269534361e-6,5.632339933846599e-7,-1.5072647058449257e-6,1.5504909661987072e-6
