alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.04875,0.15949301186363413,0.001,1.5237405575084388,8.236345390869895
0.25,0.6,2.4,0.04875,0.16887495373796554,0.001,1.523722176813577,8.171173917539136
0.25,0.6,2.4,0.04875,0.17825689561229696,0.001,1.5236999677373955,8.1114417378786
0.25,0.6,2.4,0.04875,0.18763883748662838,0.001,1.5236745999982748,8.057721527333262
0.25,0.6,2.4,0.04875,0.1970207793609598,0.001,1.5236466788045657,8.010278529851053
0.25,0.6,2.4,0.04875,0.20640272123529121,0.001,1.5236171495841093,7.966633067120557
0.25,0.6,2.4,0.04875,0.21578466310962263,0.001,1.5235863998308168,7.926334849608854
0.25,0.6,2.4,0.04875,0.22516660498395408,0.001,1.5235547811429084,7.889222436365313
0.25,0.6,2.4,0.04875,0.2345485468582855,0.001,1.5235225815289979,7.854949386328094
0.25,0.6,2.4,0.04875,0.2439304887326169,0.001,1.5234900604026225,7.823074168991822
0.25,0.6,2.4,0.04875,0.2533124306069483,0.001,1.5234574458469552,7.793287191751907
0.25,0.6,2.4,0.04875,0.26269437248127975,0.001,1.5234248776897266,7.7654988713602835
0.25,0.6,2.4,0.04875,0.27207631435561114,0.001,1.523392556976046,7.739366375059555
0.25,0.6,2.4,0.04875,0.2814582562299426,0.001,1.5233605380487059,7.714893360937178
0.25,0.6,2.4,0.04875,0.290840198104274,0.001,1.5233289023224703,7.691847482660068
0.25,0.6,2.4,0.04875,0.3002221399786054,0.001,1.523297746850226,7.670115795449539
0.25,0.6,2.4,0.04875,0.30960408185293686,0.001,1.5232671032135285,7.648009059467276
0.25,0.6,2.4,0.04875,0.31898602372726825,0.001,1.523237043497887,7.626472222011675
0.25,0.6,2.4,0.04875,0.3283679656015997,0.001,1.523207561478569,7.606110252595248
0.25,0.6,2.4,0.04875,0.3377499074759311,0.001,1.5231786881056737,7.58674634996062
0.25,0.6,2.4,0.04875,0.34713184935026253,0.001,1.523150435992239,7.568292957065305
0.25,0.6,2.4,0.04875,0.3565137912245939,0.001,1.523122734926912,7.551261255046537
0.25,0.6,2.4,0.04875,0.36589573309892537,0.001,1.523095503632746,7.536223757787913
0.25,0.6,2.4,0.04875,0.37527767497325676,0.001,1.5230688665258096,7.52190299220053
0.25,0.6,2.4,0.065,0.00938194187433142,0.001,1.5003985525577304,42.06996931571098
0.25,0.6,2.4,0.065,0.01876388374866284,0.001,1.5027287172955515,22.13030430678203
0.25,0.6,2.4,0.065,0.02814582562299426,0.001,1.5051529584957104,16.72928049835289
0.25,0.6,2.4,0.065,0.03752776749732568,0.001,1.5091369177598286,13.338115819669872
0.25,0.6,2.4,0.065,0.046909709371657095,0.001,1.5125478588434145,11.517740590664506
0.25,0.6,2.4,0.065,0.05629165124598852,0.001,1.514713485452744,10.506061527020991
0.25,0.6,2.4,0.065,0.06567359312031994,0.001,1.5162417747744388,9.83123785141675
0.25,0.6,2.4,0.065,0.07505553499465135,0.001,1.517368668541304,9.242097763038851
0.25,0.6,2.4,0.065,0.08443747686898277,0.001,1.5182235561675193,8.912792811882161
0.25,0.6,2.4,0.065,0.09381941874331419,0.001,1.5188687763785307,8.650685808256824
0.25,0.6,2.4,0.065,0.10320136061764561,0.001,1.5193819179753543,8.464985177790798
0.25,0.6,2.4,0.065,0.11258330249197704,0.001,1.519780534154303,8.342437861426701
0.25,0.6,2.4,0.065,0.12196524436630846,0.001,1.5200822445721092,8.253686982972493
0.25,0.6,2.4,0.065,0.13134718624063987,0.001,1.5203307075363612,8.134711614396522
0.25,0.6,2.4,0.065,0.1407291281149713,0.001,1.5205376308933045,8.03923253517787
0.25,0.6,2.4,0.065,0.1501110699893027,0.001,1.5207129610729915,7.9562550726719445
0.25,0.6,2.4,0.065,0.15949301186363413,0.001,1.520860151467446,7.885659036655965
0.25,0.6,2.4,0.065,0.16887495373796554,0.001,1.52098345453395,7.824668280400967
0.25,0.6,2.4,0.065,0.17825689561229696,0.001,1.521088880166019,7.770456893495164
0.25,0.6,2.4,0.065,0.18763883748662838,0.001,1.5211793648811203,7.7220584181009615
0.25,0.6,2.4,0.065,0.1970207793609598,0.001,1.5212571888947308,7.678142004443053
0.25,0.6,2.4,0.065,0.20640272123529121,0.001,1.521324240955372,7.638473374993781
0.25,0.6,2.4,0.065,0.21578466310962263,0.001,1.5213805128287115,7.606222360749568
0.25,0.6,2.4,0.065,0.22516660498395408,0.001,1.5214284923242123,7.578185709162373
0.25,0.6,2.4,0.065,0.2345485468582855,0.001,1.5214700105772452,7.552376774716605
0.25,0.6,2.4,0.065,0.2439304887326169,0.001,1.521506016156426,7.52633793819904
0.25,0.6,2.4,0.065,0.2533124306069483,0.001,1.5215372661646112,7.499442656830192
0.25,0.6,2.4,0.065,0.26269437248127975,0.001,1.5215643718754512,7.47310064570025
0.25,0.6,2.4,0.065,0.27207631435561114,0.001,1.5215876845302982,7.449156459156848
0.25,0.6,2.4,0.065,0.2814582562299426,0.001,1.521607452801456,7.4273359054717005
0.25,0.6,2.4,0.065,0.290840198104274,0.001,1.5216245368070231,7.406954615782358
0.25,0.6,2.4,0.065,0.3002221399786054,0.001,1.5216391359708823,7.3891169180675815
0.25,0.6,2.4,0.065,0.30960408185293686,0.001,1.5216516979106067,7.372311770249431
